  00.        GENERAL
  39.10.+j   Atomic and molecular beam sources and techniques
  39.20.+q   Atom interferometry techniques
  39.25.+k   Atom manipulation (scanning probe microscopy, laser cooling, etc.)
  39.30.+w   Spectroscopic techniques
  39.90.+d   Other instrumentation and techniques for atomic and molecular physics (restricted to new topics in section 39)
  40.        ELECTROMAGNETISM, OPTICS, ACOUSTICS, HEAT TRANSFER, CLASSICAL MECHANICS, AND FLUID DYNAMICS
  41.        Electromagnetism; electron and ion optics
  41.20.-q   Applied classical electromagnetism
  41.20.Cv   Electrostatics; Poisson and Laplace equations, boundary-value problems
  41.20.Gz   Magnetostatics; magnetic shielding, magnetic induction, boundary-value problems
  41.20.Jb   Electromagnetic wave propagation; radiowave propagation
  41.50.+h   X-ray beams and x-ray optics
  41.60.-m   Radiation by moving charges
  41.60.Ap   Synchrotron radiation
  41.60.Bq   Cherenkov radiation
  41.60.Cr   Free-electron lasers
  41.75.-i   Charged-particle beams
  41.75.Ak   Positive-ion beams
  41.75.Cn   Negative-ion beams
  41.75.Fr   Electron and positron beams
  41.75.Ht   Relativistic electron and positron beams
  41.75.Jv   Laser-driven acceleration
  41.75.Lx   Other advanced accelerator concepts
  41.85.-p   Beam optics
  41.85.Ar   Beam extraction, beam injection
  41.85.Ct   Beam shaping, beam splitting
  41.85.Ew   Beam profile, beam intensity
  41.85.Gy   Chromatic and geometrical aberrations
  41.85.Ja   Beam transport
  41.85.Lc   Beam focusing and bending magnets, wiggler magnets, and quadrupoles
  41.85.Ne   Electrostatic lenses, septa
  41.85.Qg   Beam analyzers, beam monitors, and Faraday cups
  41.85.Si   Beam collimators, monochromators
  41.90.+e   Other topics in electromagnetism; electron and ion optics (restricted to new topics in section 41)
  42.        Optics
  42.15.-i   Geometrical optics
  42.15.Dp   Wave fronts and ray tracing
  42.15.Eq   Optical system design
  42.15.Fr   Aberrations
  42.25.-p   Wave optics
  42.25.Bs   Wave propagation, transmission and absorption
  42.25.Dd   Wave propagation in random media
  42.25.Fx   Diffraction and scattering
  42.25.Gy   Edge and boundary effects; reflection and refraction
  42.25.Hz   Interference
  42.25.Ja   Polarization
  42.25.Kb   Coherence
  42.25.Lc   Birefringence
  42.30.-d   Imaging and optical processing
  42.30.Kq   Fourier optics
  42.30.Lr   Modulation and optical transfer functions
  42.30.Ms   Speckle and moire patterns
  42.30.Rx   Phase retrieval
  42.30.Sy   Pattern recognition
  42.30.Tz   Computer vision; robotic vision
  42.30.Va   Image forming and processing
  42.30.Wb   Image reconstruction; tomography
  42.40.-i   Holography
  42.40.Eq   Holographic optical elements; holographic gratings
  42.40.Ht   Hologram recording and readout methods
  42.40.Jv   Computer-generated holograms
  42.40.Kw   Holographic interferometry; other holographic techniques
  42.40.Lx   Diffraction efficiency, resolution, and other hologram characteristics
  42.40.My   Applications
  42.40.Pa   Volume holograms
  42.50.-p   Quantum optics
  42.50.Ar   Photon statistics and coherence theory
  42.50.Ct   Quantum description of interaction of light and matter; related experiments
  42.50.Dv   Nonclassical states of the electromagnetic field, including entangled photon states; quantum state engineering and measurements
  42.50.Fx   Cooperative phenomena in quantum optical systems
  42.50.Gy   Effects of atomic coherence on propagation, absorption, and amplification of light; electromagnetically induced transparency and absorption
  42.50.Hz   Strong-field excitation of optical transitions in quantum systems; multiphoton processes; dynamic Stark shift
  42.50.Lc   Quantum fluctuations, quantum noise, and quantum jumps
  42.50.Md   Optical transient phenomena: quantum beats, photon echo, free-induction decay, dephasings and revivals, optical nutation, and self-induced transparency
  42.50.Nn   Quantum optical phenomena in absorbing, dispersive and conducting media
  42.50.Pq   Cavity quantum electrodynamics; micromasers
  42.50.St   Nonclassical interferometry, subwavelength lithography
  42.50.Vk   Mechanical effects of light on atoms, molecules, electrons, and ions
  42.50.Xa   Optical tests of quantum theory
  42.55.-f   Lasers
  42.55.Ah   General laser theory
  42.55.Ks   Chemical lasers
  42.55.Lt   Gas lasers including excimer and metal-vapor lasers
  42.55.Mv   Dye lasers
  42.55.Px   Semiconductor lasers; laser diodes
  42.55.Rz   Doped-insulator lasers and other solid state lasers
  42.55.Sa   Microcavity and microdisk lasers
  42.55.Tv   Photonic crystal lasers and coherent effects
  42.55.Vc   X- and gamma-ray lasers
  42.55.Wd   Fiber lasers
  42.55.Xi   Diode-pumped lasers
  42.55.Ye   Raman lasers
  42.55.Zz   Random lasers
  42.60.-v   Laser optical systems: design and operation
  42.60.By   Design of specific laser systems
  42.60.Da   Resonators, cavities, amplifiers, arrays, and rings
  42.60.Fc   Modulation, tuning, and mode locking
  42.60.Gd   Q-switching
  42.60.Jf   Beam characteristics: profile, intensity, and power; spatial pattern formation
  42.60.Lh   Efficiency, stability, gain, and other operational parameters
  42.60.Mi   Dynamical laser instabilities; noisy laser behavior
  42.60.Pk   Continuous operation
  42.60.Rn   Relaxation oscillations and long pulse operation
  42.62.-b   Laser applications
  42.62.Be   Biological and medical applications
  42.62.Cf   Industrial applications
  42.62.Eh   Metrological applications; optical frequency synthesizers for precision spectroscopy
  42.62.Fi   Laser spectroscopy
  42.65.-k   Nonlinear optics
  42.65.An   Optical susceptibility, hyperpolarizability
  42.65.Dr   Stimulated Raman scattering; CARS
  42.65.Es   Stimulated Brillouin and Rayleigh scattering
  42.65.Hw   Phase conjugation; photorefractive and Kerr effects
  42.65.Jx   Beam trapping, self-focusing and defocusing; self-phase modulation
  42.65.Ky   Frequency conversion; harmonic generation, including higher-order harmonic generation
  42.65.Lm   Parametric down conversion and production of entangled photons
  42.65.Pc   Optical bistability, multistability, and switching, including local field effects
  42.65.Re   Ultrafast processes; optical pulse generation and pulse compression
  42.65.Sf   Dynamics of nonlinear optical systems; optical instabilities, optical chaos and complexity, and optical spatio-temporal dynamics
  42.65.Tg   Optical solitons; nonlinear guided waves
  42.65.Wi   Nonlinear waveguides
  42.65.Yj   Optical parametric oscillators and amplifiers
  42.66.-p   Physiological optics
  42.66.Ct   Anatomy and optics of eye
  42.66.Ew   Physiology of eye; optic-nerve structure and function
  42.66.Lc   Vision: light detection, adaptation, and discrimination
  42.66.Ne   Color vision: color detection, adaptation, and discrimination
  42.66.Qg   Scales for light and color detection
  42.66.Si   Psychophysics of vision, visual perception; binocular vision
  42.68.-w   Atmospheric and ocean optics
  42.68.Ay   Propagation, transmission, attenuation, and radiative transfer
  42.68.Bz   Atmospheric turbulence effects
  42.68.Ca   Spectral absorption by atmospheric gases
  42.68.Ge   Effects of clouds and water; ice crystal phenomena
  42.68.Jg   Effects of aerosols
  42.68.Kh   Effects of air pollution
  42.68.Mj   Scattering, polarization
  42.68.Sq   Image transmission and formation
  42.68.Wt   Remote sensing; LIDAR and adaptive systems
  42.68.Xy   Ocean optics
  42.70.-a   Optical materials
  42.70.Ce   Glasses, quartz
  42.70.Df   Liquid crystals
  42.70.Gi   Light-sensitive materials
  42.70.Hj   Laser materials
  42.70.Jk   Polymers and organics
  42.70.Km   Infrared transmitting materials
  42.70.Ln   Holographic recording materials; optical storage media
  42.70.Mp   Nonlinear optical crystals
  42.70.Nq   Other nonlinear optical materials; photorefractive and semiconductor materials
  42.70.Qs   Photonic bandgap materials
  42.72.-g   Optical sources and standards
  42.72.Ai   Infrared sources
  42.72.Bj   Visible and ultraviolet sources
  42.79.-e   Optical elements, devices, and systems
  42.79.Ag   Apertures, collimators
  42.79.Bh   Lenses, prisms and mirrors
  42.79.Ci   Filters, zone plates, and polarizers
  42.79.Dj   Gratings
  42.79.Ek   Solar collectors and concentrators
  42.79.Fm   Reflectors, beam splitters, and deflectors
  42.79.Gn   Optical waveguides and couplers
  42.79.Hp   Optical processors, correlators, and modulators
  42.79.Jq   Acousto-optical devices
  42.79.Kr   Display devices, liquid-crystal devices
  42.79.Ls   Scanners, image intensifiers, and image converters
  42.79.Mt   Schlieren devices
  42.79.Nv   Optical frequency converters
  42.79.Pw   Imaging detectors and sensors
  42.79.Qx   Range finders, remote sensing devices; laser Doppler velocimeters, SAR, and LIDAR
  42.79.Ry   Gradient-index (GRIN) devices
  42.79.Sz   Optical communication systems, multiplexers, and demultiplexers
  42.79.Ta   Optical computers, logic elements, interconnects, switches; neural networks
  42.79.Vb   Optical storage systems, optical disks
  42.79.Wc   Optical coatings
  42.81.-i   Fiber optics
  42.81.Bm   Fabrication, cladding, and splicing
  42.81.Cn   Fiber testing and measurement of fiber parameters
  42.81.Dp   Propagation, scattering, and losses; solitons
  42.81.Gs   Birefringence, polarization
  42.81.Ht   Gradient-index (GRIN) fiber devices
  42.81.Pa   Sensors, gyros
  42.81.Qb   Fiber waveguides, couplers, and arrays
  42.81.Uv   Fiber networks
  42.81.Wg   Other fiber-optical devices
  42.82.-m   Integrated optics
  42.82.Bq   Design and performance testing of integrated-optical systems
  42.82.Cr   Fabrication techniques; lithography, pattern transfer
  42.82.Ds   Interconnects, including holographic interconnects
  42.82.Et   Waveguides, couplers, and arrays
  42.82.Fv   Hybrid systems
  42.82.Gw   Other integrated-optical elements and systems
  42.86.+b   Optical workshop techniques
  42.87.-d   Optical testing techniques
  42.87.Bg   Phase shifting interferometry
  42.88.+h   Environmental and radiation effects on optical elements, devices, and systems
  42.90.+m   Other topics in optics (restricted to new topics in section 42)
  43.        Acoustics
  43.20.+g   General linear acoustics
  43.25.+y   Nonlinear acoustics
  43.28.+h   Aeroacoustics and atmospheric sound
  43.30.+m   Underwater sound
  43.35.+d   Ultrasonics, quantum acoustics, and physical effects of sound
  43.38.+n   Transduction; acoustical devices for the generation and reproduction of sound
  43.40.+s   Structural acoustics and vibration
  43.50.+y   Noise: its effects and control
  43.55.+p   Architectural acoustics
  43.58.+z   Acoustical measurements and instrumentation
  43.60.+d   Acoustic signal processing
  43.64.+r   Physiological acoustics
  43.66.+y   Psychological acoustics
  43.70.+i   Speech production
  43.71.+m   Speech perception
  43.72.+q   Speech processing and communication systems
  43.75.+a   Music and musical instruments
  43.80.+p   Bioacoustics
  43.90.+v   Other topics in acoustics (restricted to new topics in section 43)
  44.        Heat transfer
  44.05.+e   Analytical and numerical techniques
  44.10.+i   Heat conduction
  44.15.+a   Channel and internal heat flow
  44.20.+b   Boundary layer heat flow
  44.25.+f   Natural convection
  44.27.+g   Forced convection
  44.30.+v   Heat flow in porous media
  44.35.+c   Heat flow in multiphase systems
  44.40.+a   Thermal radiation
  44.90.+c   Other topics in heat transfer (restricted to new topics in section 44)
  45.        Classical mechanics of discrete systems
  45.05.+x   General theory of classical mechanics of discrete systems
  45.10.-b   Computational methods in classical mechanics
  45.10.Db   Variational and optimization methods
  45.10.Hj   Perturbation and fractional calculus methods
  45.10.Na   Geometrical and tensorial methods
  45.20.-d   Formalisms in classical mechanics
  45.20.Dd   Newtonian mechanics
  45.20.Jj   Lagrangian and Hamiltonian mechanics
  45.30.+s   General linear dynamical systems
  45.40.-f   Dynamics and kinematics of rigid bodies
  45.40.Cc   Rigid body and gyroscope motion
  45.40.Gj   Ballistics (projectiles; rockets)
  45.40.Ln   Robotics
  45.50.-j   Dynamics and kinematics of a particle and a system of particles
  45.50.Dd   General motion
  45.50.Jf   Few- and many-body systems
  45.50.Pk   Celestial mechanics
  45.50.Tn   Collisions
  45.70.-n   Granular systems
  45.70.Cc   Static sandpiles; granular compaction
  45.70.Ht   Avalanches
  45.70.Mg   Granular flow: mixing, segregation and stratification
  45.70.Qj   Pattern formation
  45.70.Vn   Granular models of complex systems; traffic flow
  45.80.+r   Control of mechanical systems
  45.90.+t   Other topics in classical mechanics of discrete systems (restricted to new topics in section 45)
  46.        Continuum mechanics of solids
  46.05.+b   General theory of continuum mechanics of solids
  46.15.-x   Computational methods in continuum mechanics
  46.15.Cc   Variational and optimizational methods
  46.15.Ff   Perturbation and complex analysis methods
  46.25.-y   Static elasticity
  46.25.Cc   Theoretical studies
  46.25.Hf   Thermoelasticity and electromagnetic elasticity (electroelasticity, magnetoelasticity)
  46.32.+x   Static buckling and instability
  46.35.+z   Viscoelasticity, plasticity, viscoplasticity
  46.40.-f   Vibrations and mechanical waves
  46.40.Cd   Mechanical wave propagation (including diffraction, scattering, and dispersion)
  46.40.Ff   Resonance, damping and dynamic stability
  46.40.Jj   Aeroelasticity and hydroelasticity
  46.50.+a   Fracture mechanics, fatigue and cracks
  46.55.+d   Tribology and mechanical contacts
  46.65.+g   Random phenomena and media
  46.70.-p   Application of continuum mechanics to structures
  46.70.De   Beams, plates and shells
  46.70.Hg   Membranes, rods and strings
  46.70.Lk   Other structures
  46.80.+j   Measurement methods and techniques in continuum mechanics of solids
  46.90.+s   Other topics in continuum mechanics of solids (restricted to new topics in section 46)
  47.        Fluid dynamics
  47.10.+g   General theory
  47.11.+j   Computational methods in fluid dynamics
  47.15.-x   Laminar flows
  47.15.Cb   Laminar boundary layers
  47.15.Fe   Stability of laminar flows
  47.15.Gf   Low-Reynolds-number (creeping) flows
  47.15.Hg   Potential flows
  47.15.Ki   Inviscid flows with vorticity
  47.15.Pn   Laminar suspensions
  47.15.Rq   Laminar flows in cavities
  47.17.+e   Mechanical properties of fluids
  47.20.-k   Hydrodynamic stability
  47.20.Bp   Buoyancy-driven instability
  47.20.Cq   Inviscid instability
  47.20.Dr   Surface-tension-driven instability
  47.20.Ft   Instability of shear flows
  47.20.Gv   Viscous instability
  47.20.Hw   Morphological instability; phase changes
  47.20.Ky   Nonlinearity (including bifurcation theory)
  47.20.Lz   Secondary instability
  47.20.Ma   Interfacial instability
  47.20.Pc   Receptivity
  47.27.-i   Turbulent flows, convection, and heat transfer
  47.27.Ak   Fundamentals
  47.27.Cn   Transition to turbulence
  47.27.Eq   Turbulence simulation and modeling
  47.27.Gs   Isotropic turbulence; homogeneous turbulence
  47.27.Jv   High-Reynolds-number turbulence
  47.27.Lx   Wall-bounded thin shear flows
  47.27.Nz   Boundary layer and shear turbulence
  47.27.Pa   Thick shear flows
  47.27.Qb   Turbulent diffusion
  47.27.Rc   Turbulence control
  47.27.Sd   Noise (turbulence generated)
  47.27.Te   Convection and heat transfer
  47.27.Vf   Wakes
  47.27.Wg   Jets
  47.32.-y   Rotational flow and vorticity
  47.32.Cc   Vortex dynamics
  47.32.Ff   Separated flows
  47.35.+i   Hydrodynamic waves
  47.37.+q   Hydrodynamic aspects of superfluidity
  47.40.-x   Compressible flows; shock and detonation phenomena
  47.40.Dc   General subsonic flows
  47.40.Hg   Transonic flows
  47.40.Ki   Supersonic and hypersonic flows
  47.40.Nm   Shock wave interactions and shock effects
  47.45.-n   Rarefied gas dynamics
  47.45.Dt   Free molecular flows
  47.45.Gx   Slip flows
  47.45.Nd   Accommodation
  47.50.+d   Non-Newtonian fluid flows
  47.52.+j   Chaos
  47.53.+n   Fractals
  47.54.+r   Pattern selection; pattern formation
  47.55.-t   Nonhomogeneous flows
  47.55.Bx   Cavitation
  47.55.Dz   Drops and bubbles
  47.55.Hd   Stratified flows
  47.55.Kf   Multiphase and particle-laden flows
  47.55.Mh   Flows through porous media
  47.60.+i   Flows in ducts, channels, nozzles, and conduits
  47.62.+q   Flow control
  47.65.+a   Magnetohydrodynamics and electrohydrodynamics
  47.70.-n   Reactive, radiative, or nonequilibrium flows
  47.70.Fw   Chemically reactive flows
  47.70.Mc   Radiation gas dynamics
  47.70.Nd   Nonequilibrium gas dynamics
  47.75.+f   Relativistic fluid dynamics
  47.80.+v   Instrumentation for fluid dynamics
  47.85.-g   Applied fluid mechanics
  47.85.Dh   Hydrodynamics, hydraulics, hydrostatics
  47.85.Gj   Aerodynamics
  47.85.Kn   Hydraulic and pneumatic machinery
  47.85.Np   Fluidics
  47.90.+a   Other topics in fluid dynamics (restricted to new topics in section 47)
  50.        PHYSICS OF GASES, PLASMAS, AND ELECTRIC DISCHARGES
  51.        Physics of gases
  51.10.+y   Kinetic and transport theory of gases
  51.20.+d   Viscosity, diffusion, and thermal conductivity
  51.30.+i   Thermodynamic properties, equations of state
  51.35.+a   Mechanical properties; compressibility
  51.40.+p   Acoustical properties
  51.50.+v   Electrical properties (ionization, breakdown, electron and ion mobility, etc.)
  51.60.+a   Magnetic properties
  51.70.+f   Optical and dielectric properties
  51.90.+r   Other topics in the physics of gases (restricted to new topics in section 51)
  52.        Physics of plasmas and electric discharges
  52.20.-j   Elementary processes in plasmas
  52.20.Dq   Particle orbits
  52.20.Fs   Electron collisions
  52.20.Hv   Atomic, molecular, ion, and heavy-particle collisions
  52.25.-b   Plasma properties
  52.25.Dg   Plasma kinetic equations
  52.25.Fi   Transport properties
  52.25.Gj   Fluctuation and chaos phenomena
  52.25.Jm   Ionization of plasmas
  52.25.Kn   Thermodynamics of plasmas
  52.25.Mq   Dielectric properties
  52.25.Os   Emission, absorption, and scattering of electromagnetic radiation
  52.25.Tx   Emission, absorption, and scattering of particles
  52.25.Vy   Impurities in plasmas
  52.25.Xz   Magnetized plasmas
  52.25.Ya   Neutrals in plasmas
  52.27.-h   Basic studies of specific kinds of plasmas
  52.27.Aj   Single-component, electron-positive-ion plasmas
  52.27.Cm   Multicomponent and negative-ion plasmas
  52.27.Ep   Electron-positron plasmas
  52.27.Gr   Strongly-coupled plasmas
  52.27.Jt   Nonneutral plasmas
  52.27.Lw   Dusty or complex plasmas; plasma crystals
  52.27.Ny   Relativistic plasmas
  52.30.-q   Plasma dynamics and flow
  52.30.Cv   Magnetohydrodynamics (including electron magnetohydrodynamics)
  52.30.Ex   Two-fluid and multi-fluid plasmas
  52.30.Gz   Gyrokinetics
  52.35.-g   Waves, oscillations, and instabilities in plasmas and intense beams
  52.35.Bj   Magnetohydrodynamic waves (e.g., Alfven waves)
  52.35.Dm   Sound waves
  52.35.Fp   Electrostatic waves and oscillations (e.g., ion-acoustic waves)
  52.35.Hr   Electromagnetic waves (e.g., electron-cyclotron, Whistler, Bernstein, upper hybrid, lower hybrid)
  52.35.Kt   Drift waves
  52.35.Lv   Other linear waves
  52.35.Mw   Nonlinear phenomena: waves, wave propagation, and other interactions (including parametric effects, mode coupling, ponderomotive effects, etc.)
  52.35.Py   Macroinstabilities (hydromagnetic, e.g., kink, fire-hose, mirror, ballooning, tearing, trapped-particle, flute, Rayleigh-Taylor, etc.)
  52.35.Qz   Microinstabilities (ion-acoustic, two-stream, loss-cone, beam-plasma, drift, ion- or electron-cyclotron, etc.)
  52.35.Ra   Plasma turbulence
  52.35.Sb   Solitons; BGK modes
  52.35.Tc   Shock waves and discontinuities
  52.35.Vd   Magnetic reconnection
  52.35.We   Plasma vorticity
  52.38.-r   Laser-plasma interactions
  52.38.Bv   Rayleigh scattering; stimulated Brillouin and Raman scattering
  52.38.Dx   Laser light absorption in plasmas (collisional, parametric, etc.)
  52.38.Fz   Laser-induced magnetic fields in plasmas
  52.38.Hb   Self-focussing, channeling, and filamentation in plasmas
  52.38.Kd   Laser-plasma acceleration of electrons and ions
  52.38.Mf   Laser ablation
  52.38.Ph   X-ray, gamma-ray and particle generation
  52.40.-w   Plasma interactions (nonlaser)
  52.40.Db   Electromagnetic (nonlaser) radiation interactions with plasma
  52.40.Fd   Plasma interactions with antennas; plasma-filled waveguides
  52.40.Hf   Plasma-material interactions; boundary layer effects
  52.40.Kh   Plasma sheaths
  52.40.Mj   Particle beam interactions in plasmas
  52.50.-b   Plasma production and heating
  52.50.Dg   Plasma sources
  52.50.Gj   Plasma heating by particle beams
  52.50.Jm   Plasma production and heating by laser beams (laser-foil, laser-cluster, etc.)
  52.50.Lp   Plasma production and heating by shock waves and compression
  52.50.Nr   Plasma heating by DC fields; ohmic heating, arcs
  52.50.Qt   Plasma heating by radio-frequency fields; ICR, ICP, helicons
  52.50.Sw   Plasma heating by microwaves; ECR, LH, collisional heating
  52.55.-s   Magnetic confinement and equilibrium
  52.55.Dy   General theory and basic studies of plasma lifetime, particle and heat loss, energy balance, field structure, etc.
  52.55.Ez   Theta pinch
  52.55.Fa   Tokamaks, spherical tokamaks
  52.55.Hc   Stellarators, torsatrons, heliacs, bumpy tori, and other toroidal confinement devices
  52.55.Ip   Spheromaks
  52.55.Jd   Magnetic mirrors, gas dynamic traps
  52.55.Lf   Field-reversed configurations, rotamaks, astrons, ion rings, magnetized target fusion, and cusps
  52.55.Pi   Fusion products effects (e.g., alpha-particles, etc.), fast particle effects
  52.55.Rk   Power exhaust; divertors
  52.55.Tn   Ideal and resistive MHD modes; kinetic modes
  52.55.Wq   Current drive; helicity injection
  52.57.-z   Laser inertial confinement
  52.57.Bc   Target design and fabrication
  52.57.Fg   Implosion symmetry and hydrodynamic instability (Rayleigh-Taylor, Richtmyer-Meshkov, imprint, etc.)
  52.57.Kk   Fast ignition of compressed fusion fuels
  52.58.-c   Other confinement methods
  52.58.Ei   Light-ion inertial confinement
  52.58.Hm   Heavy-ion inertial confinement
  52.58.Lq   Z-pinches, plasma focus and other pinch devices
  52.58.Qv   Electrostatic and high-frequency confinement
  52.59.-f   Intense particle beams and radiation sources
  52.59.Bi   Grid- and ion-diode-accelerated beams
  52.59.Dk   Magneto-plasma accelerated plasmas
  52.59.Fn   Multistage accelerated heavy-ion beams
  52.59.Hq   Dense plasma focus
  52.59.Mv   High-voltage diodes
  52.59.Px   Hard X-ray sources
  52.59.Qy   Wire array Z-pinches
  52.59.Rz   Free-electron devices
  52.59.Sa   Space-charge-dominated beams
  52.59.Tb   Moderate-intensity beams
  52.59.Wd   Emittance-dominated beams
  52.59.Ye   Plasma devices for generation of coherent radiation
  52.65.-y   Plasma simulation
  52.65.Cc   Particle orbit and trajectory
  52.65.Ff   Fokker-Planck and Vlasov equation
  52.65.Kj   Magnetohydrodynamic and fluid equation
  52.65.Pp   Monte Carlo methods
  52.65.Rr   Particle-in-cell method
  52.65.Tt   Gyrofluid and gyrokinetic simulations
  52.65.Vv   Perturbative methods
  52.65.Ww   Hybrid methods
  52.65.Yy   Molecular dynamics methods
  52.70.-m   Plasma diagnostic techniques and instrumentation
  52.70.Ds   Electric and magnetic measurements
  52.70.Gw   Radio-frequency and microwave measurements
  52.70.Kz   Optical (ultraviolet, visible, infrared) measurements
  52.70.La   X-ray and gamma-ray measurements
  52.70.Nc   Particle measurements
  52.72.+v   Laboratory studies of space- and astrophysical-plasma processes
  52.75.-d   Plasma devices
  52.75.Di   Ion and plasma propulsion
  52.75.Fk   Magnetohydrodynamic generators and thermionic convertors; plasma diodes
  52.75.Hn   Plasma torches
  52.75.Kq   Plasma switches (e.g., spark gaps)
  52.75.Xx   Thermionic and filament-based sources (e.g., Q machines, double- and triple-plasma devices, etc.)
  52.77.-j   Plasma applications
  52.77.Bn   Etching and cleaning
  52.77.Dq   Plasma-based ion implantation and deposition
  52.77.Fv   High-pressure, high-current plasmas (plasma spray, arc welding, etc.)
  52.80.-s   Electric discharges
  52.80.Dy   Low-field and Townsend discharges
  52.80.Hc   Glow; corona
  52.80.Mg   Arcs; sparks; lightning; atmospheric electricity
  52.80.Pi   High-frequency and RF discharges
  52.80.Qj   Explosions; exploding wires
  52.80.Sm   Magnetoactive discharges (e.g., Penning discharges)
  52.80.Tn   Other gas discharges
  52.80.Vp   Discharge in vacuum
  52.80.Wq   Discharge in liquids and solids
  52.80.Yr   Discharges for spectral sources (including inductively coupled plasma)
  52.90.+z   Other topics in physics of plasmas and electric discharges (restricted to new topics in section 52)
  60.        CONDENSED MATTER: STRUCTURAL, MECHANICAL AND THERMAL PROPERTIES
  61.        Structure of solids and liquids; crystallography
  61.10.-i   X-ray diffraction and scattering
  61.10.Dp   Theories of diffraction and scattering
  61.10.Eq   X-ray scattering (including small-angle scattering)
  61.10.Ht   X-ray absorption spectroscopy: EXAFS, NEXAFS, XANES, etc.
  61.10.Kw   X-ray reflectometry (surfaces, interfaces, films)
  61.10.Nz   X-ray diffraction
  61.12.-q   Neutron diffraction and scattering
  61.12.Bt   Theories of diffraction and scattering
  61.12.Ex   Neutron scattering (including small-angle scattering)
  61.12.Ha   Neutron reflectometry
  61.12.Ld   Neutron diffraction
  61.14.-x   Electron diffraction and scattering
  61.14.Dc   Theories of diffraction and scattering
  61.14.Hg   Low-energy electron diffraction (LEED) and reflection high-energy electron diffraction (RHEED)
  61.14.Lj   Convergent-beam electron diffraction, selected-area electron diffraction, nanodiffraction
  61.14.Nm   Electron holography
  61.14.Qp   X-ray photoelectron diffraction
  61.18.-j   Other methods of structure determination
  61.18.Bn   Atom, molecule, and ion scattering
  61.18.Fs   Magnetic resonance techniques; M?ssbauer spectroscopy
  61.20.-p   Structure of liquids
  61.20.Gy   Theory and models of liquid structure
  61.20.Ja   Computer simulation of liquid structure
  61.20.Lc   Time-dependent properties; relaxation
  61.20.Ne   Structure of simple liquids
  61.20.Qg   Structure of associated liquids: electrolytes, molten salts, etc.
  61.25.-f   Studies of specific liquid structures
  61.25.Bi   Liquid noble gases
  61.25.Em   Molecular liquids
  61.25.Hq   Macromolecular and polymer solutions; polymer melts; swelling
  61.25.Mv   Liquid metals and alloys
  61.30.-v   Liquid crystals
  61.30.Cz   Molecular and microscopic models and theories of liquid crystal structure
  61.30.Dk   Continuum models and theories of liquid crystal structure
  61.30.Eb   Experimental determinations of smectic, nematic, cholesteric, and other structures
  61.30.Gd   Orientational order of liquid crystals; electric and magnetic field effects on order
  61.30.Hn   Surface phenomena: alignment, anchoring, anchoring transitions, surface-induced layering, surface-induced ordering, wetting, prewetting transitions, and wetting transitions
  61.30.Jf   Defects in liquid crystals
  61.30.Mp   Blue phases and other defect-phases
  61.30.Pq   Microconfined liquid crystals: droplets, cylinders, randomly confined liquid crystals, polymer dispersed liquid crystals, and porous systems
  61.30.St   Lyotropic phases
  61.30.Vx   Polymer liquid crystals
  61.41.+e   Polymers, elastomers, and plastics
  61.43.-j   Disordered solids
  61.43.Bn   Structural modeling: serial-addition models, computer simulation
  61.43.Dq   Amorphous semiconductors, metals, and alloys
  61.43.Er   Other amorphous solids
  61.43.Fs   Glasses
  61.43.Gt   Powders, porous materials
  61.43.Hv   Fractals; macroscopic aggregates (including diffusion-limited aggregates)
  61.44.-n   Semi-periodic solids
  61.44.Br   Quasicrystals
  61.44.Fw   Incommensurate crystals
  61.46.+w   Nanoscale materials: clusters, nanoparticles, nanotubes, and nanocrystals
  61.48.+c   Fullerenes and fullerene-related materials
  61.50.-f   Crystalline state
  61.50.Ah   Theory of crystal structure, crystal symmetry; calculations and modeling
  61.50.Ks   Crystallographic aspects of phase transformations; pressure effects
  61.50.Lt   Crystal binding; cohesive energy
  61.50.Nw   Crystal stoichiometry
  61.66.-f   Structure of specific crystalline solids
  61.66.Bi   Elemental solids
  61.66.Dk   Alloys
  61.66.Fn   Inorganic compounds
  61.66.Hq   Organic compounds
  61.68.+n   Crystallographic databases
  61.72.-y   Defects and impurities in crystals; microstructure
  61.72.Bb   Theories and models of crystal defects
  61.72.Cc   Kinetics of defect formation and annealing
  61.72.Dd   Experimental determination of defects by diffraction and scattering
  61.72.Ff   Direct observation of dislocations and other defects (etch pits, decoration, electron microscopy, x-ray topography, etc.)
  61.72.Hh   Indirect evidence of dislocations and other defects (resistivity, slip, creep, strains, internal friction, EPR, NMR, etc.)
  61.72.Ji   Point defects (vacancies, interstitials, color centers, etc.) and defect clusters
  61.72.Lk   Linear defects: dislocations, disclinations
  61.72.Mm   Grain and twin boundaries
  61.72.Nn   Stacking faults and other planar or extended defects
  61.72.Qq   Microscopic defects (voids, inclusions, etc.)
  61.72.Ss   Impurity concentration, distribution, and gradients
  61.72.Tt   Doping and impurity implantation in germanium and silicon
  61.72.Vv   Doping and impurity implantation in III-V and II-VI semiconductors
  61.72.Ww   Doping and impurity implantation in other materials
  61.72.Yx   Interaction between different crystal defects; gettering effect
  61.80.-x   Physical radiation effects, radiation damage (for photochemical reactions, see 82.50.-m)
  61.80.Az   Theory and models of radiation effects
  61.80.Ba   Ultraviolet, visible, and infrared radiation effects (including laser radiation)
  61.80.Cb   X-ray effects
  61.80.Ed   gamma-ray effects
